age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income,__role,__pair_id,__class,__orig_row
34.0, Private,209317.0, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,40.0, Puerto-Rico, <=50K,neg,-1,majority,2144
38.0, Private,173968.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,45.0, United-States, <=50K,neg,-1,majority,8426
37.0, Private,186934.0, 11th,7.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,3103.0,0.0,44.0, United-States, >50K,anchor,449,minority,934
65.0, ?,327154.0, HS-grad,9.0, Widowed, ?, Unmarried, White, Female,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,2885
44.0, Private,86298.0, HS-grad,9.0, Divorced, Craft-repair, Not-in-family, White, Male,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,18979
23.0, Private,147253.0, Assoc-acdm,12.0, Never-married, Sales, Not-in-family, White, Male,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,19312
56.0, Private,225267.0, HS-grad,9.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,15652
24.0, Private,258730.0, HS-grad,9.0, Divorced, Other-service, Own-child, White, Female,0.0,0.0,40.0, Japan, <=50K,neg,-1,majority,24632
37.0, Self-emp-not-inc,243587.0, Some-college,10.0, Separated, Other-service, Own-child, White, Female,0.0,0.0,40.0, Cuba, <=50K,neg,-1,majority,2668
23.0, Private,143032.0, Masters,14.0, Never-married, Prof-specialty, Own-child, White, Female,0.0,0.0,36.0, United-States, <=50K,neg,-1,majority,9667
20.0, Private,154779.0, Some-college,10.0, Never-married, Sales, Other-relative, Other, Female,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,8016
33.0, Private,183612.0, HS-grad,9.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,40.0, United-States, >50K,anchor,112,minority,10912
79.0, Self-emp-not-inc,103684.0, HS-grad,9.0, Married-civ-spouse, Farming-fishing, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,23900
72.0, ?,113044.0, HS-grad,9.0, Widowed, ?, Not-in-family, White, Male,0.0,0.0,30.0, United-States, <=50K,neg,-1,majority,3065
38.0, Private,144860.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,65.0, United-States, <=50K,neg,-1,majority,21882
52.0, Federal-gov,290856.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States, >50K,pos,265,minority,12216
58.0, Self-emp-not-inc,248841.0, HS-grad,9.0, Married-civ-spouse, Sales, Husband, White, Male,15024.0,0.0,40.0, United-States, >50K,anchor,269,minority,25623
34.0, Private,297094.0, HS-grad,9.0, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,6023
24.0, Private,376393.0, Assoc-voc,11.0, Never-married, Sales, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,16722
41.0, ?,230020.0, 5th-6th,3.0, Married-civ-spouse, ?, Husband, Other, Male,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,5623
55.0, ?,170994.0, HS-grad,9.0, Never-married, ?, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,23744
24.0, ?,26671.0, HS-grad,9.0, Never-married, ?, Other-relative, Amer-Indian-Eskimo, Female,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,14360
36.0, State-gov,340091.0, Doctorate,16.0, Married-civ-spouse, Prof-specialty, Wife, White, Female,0.0,0.0,36.0, United-States, >50K,anchor,470,minority,26581
50.0, Private,73493.0, Some-college,10.0, Divorced, Other-service, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,1534
43.0, Private,58447.0, Doctorate,16.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999.0,0.0,55.0, United-States, >50K,pos,399,minority,22361
40.0, Private,240504.0, Bachelors,13.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,45.0, United-States, >50K,anchor,205,minority,16607
44.0, Private,85604.0, HS-grad,9.0, Divorced, Craft-repair, Not-in-family, White, Male,0.0,0.0,40.0, United-States, >50K,pos,320,minority,9921
50.0, Private,71417.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,3103.0,0.0,40.0, United-States, >50K,anchor,71,minority,5121
57.0, Self-emp-not-inc,177271.0, Doctorate,16.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,35.0, United-States, <=50K,neg,-1,majority,15122
58.0, Private,224854.0, HS-grad,9.0, Never-married, Adm-clerical, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,28290
31.0, Private,188246.0, Assoc-acdm,12.0, Divorced, Craft-repair, Not-in-family, White, Male,0.0,0.0,50.0, United-States, >50K,pos,15,minority,32245
62.0, Private,161460.0, Bachelors,13.0, Never-married, Farming-fishing, Not-in-family, White, Male,0.0,0.0,30.0, United-States, <=50K,neg,-1,majority,9633
35.0, Self-emp-not-inc,278557.0, HS-grad,9.0, Married-civ-spouse, Farming-fishing, Husband, White, Male,0.0,0.0,30.0, United-States, <=50K,neg,-1,majority,11678
20.0, Private,236592.0, 12th,8.0, Never-married, Prof-specialty, Not-in-family, White, Female,0.0,0.0,35.0, Italy, <=50K,neg,-1,majority,10918
24.0, Private,92609.0, Bachelors,13.0, Never-married, Exec-managerial, Own-child, White, Male,0.0,0.0,45.0, United-States, <=50K,neg,-1,majority,18268
31.0, Private,114691.0, HS-grad,9.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,40.0, United-States, >50K,pos,387,minority,26193
29.0, Private,200381.0, 11th,7.0, Never-married, Exec-managerial, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,323
19.0, Private,188864.0, HS-grad,9.0, Never-married, Sales, Unmarried, Black, Female,0.0,0.0,20.0, United-States, <=50K,neg,-1,majority,19649
33.0, Self-emp-inc,289886.0, HS-grad,9.0, Never-married, Other-service, Unmarried, Asian-Pac-Islander, Male,0.0,0.0,40.0, Vietnam, <=50K,neg,-1,majority,23564
54.0, Private,138179.0, HS-grad,9.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,13848
31.0, Private,198452.0, Bachelors,13.0, Never-married, Adm-clerical, Own-child, White, Female,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,16717
30.0, Private,30290.0, HS-grad,9.0, Never-married, Machine-op-inspct, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,31874
64.0, Private,88470.0, Some-college,10.0, Married-civ-spouse, Other-service, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,28340
19.0, Private,148392.0, HS-grad,9.0, Never-married, Adm-clerical, Own-child, White, Male,0.0,0.0,30.0, United-States, <=50K,neg,-1,majority,11778
18.0, Private,114008.0, HS-grad,9.0, Never-married, Other-service, Own-child, White, Male,0.0,0.0,35.0, United-States, <=50K,neg,-1,majority,17311
61.0, Private,197286.0, 9th,5.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,2690
43.0, Self-emp-inc,304906.0, Bachelors,13.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,45.0, United-States, >50K,pos,242,minority,17846
55.0, Private,199763.0, HS-grad,9.0, Separated, Protective-serv, Not-in-family, White, Male,0.0,0.0,81.0, United-States, <=50K,neg,-1,majority,32391
32.0, Private,123964.0, Some-college,10.0, Married-civ-spouse, Sales, Husband, White, Male,4386.0,0.0,50.0, United-States, <=50K,neg,-1,majority,29073
64.0, Private,312498.0, Bachelors,13.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,28369
49.0, Self-emp-inc,119565.0, Masters,14.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,40.0, United-States, >50K,pos,331,minority,14015
54.0, Private,234938.0, HS-grad,9.0, Married-civ-spouse, Sales, Husband, White, Male,4064.0,0.0,55.0, United-States, <=50K,neg,-1,majority,9396
63.0, State-gov,216871.0, Some-college,10.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,1740.0,40.0, United-States, <=50K,neg,-1,majority,31643
42.0, Local-gov,185129.0, Doctorate,16.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,43.0, ?, >50K,anchor,257,minority,10647
61.0, ?,63526.0, 12th,8.0, Never-married, ?, Not-in-family, Black, Male,0.0,0.0,52.0, United-States, <=50K,neg,-1,majority,28043
45.0, Private,178922.0, HS-grad,9.0, Never-married, Sales, Not-in-family, White, Female,0.0,0.0,20.0, United-States, <=50K,neg,-1,majority,15724
35.0, Private,162358.0, Bachelors,13.0, Never-married, Exec-managerial, Not-in-family, White, Female,0.0,0.0,50.0, United-States, >50K,pos,293,minority,23982
32.0, Private,183811.0, HS-grad,9.0, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,2829.0,0.0,40.0, United-States, <=50K,neg,-1,majority,10359
46.0, State-gov,192779.0, Assoc-acdm,12.0, Divorced, Adm-clerical, Unmarried, White, Male,0.0,2258.0,38.0, United-States, >50K,anchor,176,minority,8737
35.0, Private,183800.0, Bachelors,13.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,40.0, United-States, >50K,pos,263,minority,19813
47.0, Local-gov,174533.0, Assoc-voc,11.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,40.0, United-States, >50K,anchor,434,minority,7989
30.0, Private,331419.0, Assoc-acdm,12.0, Never-married, Craft-repair, Not-in-family, White, Male,4787.0,0.0,50.0, United-States, >50K,anchor,441,minority,29289
26.0, Private,360252.0, Assoc-acdm,12.0, Married-civ-spouse, Adm-clerical, Wife, White, Female,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,25531
45.0, Private,123681.0, HS-grad,9.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,40.0, United-States, >50K,anchor,264,minority,4443
24.0, Private,146706.0, Some-college,10.0, Never-married, Other-service, Not-in-family, White, Female,0.0,0.0,30.0, United-States, <=50K,neg,-1,majority,8916
25.0, Private,141876.0, Masters,14.0, Never-married, Prof-specialty, Unmarried, White, Male,0.0,0.0,45.0, ?, <=50K,neg,-1,majority,29888
24.0, Private,222853.0, Some-college,10.0, Never-married, Craft-repair, Unmarried, White, Male,0.0,0.0,50.0, United-States, <=50K,neg,-1,majority,31261
40.0, Self-emp-not-inc,98985.0, HS-grad,9.0, Divorced, Exec-managerial, Not-in-family, Black, Male,0.0,0.0,50.0, United-States, <=50K,neg,-1,majority,23482
37.0, Self-emp-not-inc,162834.0, HS-grad,9.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,1902.0,45.0, United-States, >50K,pos,22,minority,32221
31.0, Private,113667.0, HS-grad,9.0, Never-married, Sales, Unmarried, Black, Female,0.0,0.0,25.0, United-States, <=50K,neg,-1,majority,15185
36.0, Private,231082.0, Bachelors,13.0, Divorced, Prof-specialty, Not-in-family, White, Female,0.0,0.0,50.0, United-States, <=50K,neg,-1,majority,30739
53.0, Local-gov,82783.0, HS-grad,9.0, Divorced, Exec-managerial, Not-in-family, White, Male,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,22768
44.0, Private,160323.0, HS-grad,9.0, Never-married, Craft-repair, Not-in-family, Black, Male,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,374
56.0, Private,147202.0, Some-college,10.0, Divorced, Adm-clerical, Not-in-family, White, Female,0.0,0.0,45.0, Germany, <=50K,neg,-1,majority,25338
38.0, Private,132879.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,1902.0,40.0, United-States, >50K,pos,16,minority,1071
66.0, Private,33619.0, HS-grad,9.0, Married-civ-spouse, Other-service, Husband, Black, Male,0.0,0.0,4.0, United-States, <=50K,neg,-1,majority,13263
51.0, ?,157327.0, 5th-6th,3.0, Married-civ-spouse, ?, Husband, Black, Male,0.0,0.0,8.0, United-States, <=50K,neg,-1,majority,13504
51.0, Local-gov,240358.0, HS-grad,9.0, Married-civ-spouse, Protective-serv, Husband, White, Male,0.0,0.0,40.0, United-States, >50K,pos,469,minority,4330
18.0, Private,41973.0, 11th,7.0, Never-married, Adm-clerical, Own-child, White, Female,0.0,0.0,5.0, United-States, <=50K,neg,-1,majority,32018
44.0, Self-emp-not-inc,37618.0, HS-grad,9.0, Married-civ-spouse, Farming-fishing, Husband, White, Male,0.0,0.0,40.0, United-States, >50K,anchor,420,minority,11467
39.0, Private,126161.0, Doctorate,16.0, Never-married, Prof-specialty, Not-in-family, White, Male,0.0,0.0,45.0, United-States, <=50K,neg,-1,majority,28792
32.0, Private,192965.0, HS-grad,9.0, Separated, Sales, Not-in-family, White, Female,0.0,0.0,45.0, United-States, <=50K,neg,-1,majority,32509
51.0, Self-emp-not-inc,95435.0, HS-grad,9.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,60.0, United-States, >50K,pos,240,minority,31227
46.0, Private,285750.0, HS-grad,9.0, Married-civ-spouse, Farming-fishing, Husband, White, Male,4064.0,0.0,55.0, United-States, <=50K,neg,-1,majority,30370
39.0, State-gov,221059.0, Masters,14.0, Married-civ-spouse, Prof-specialty, Other-relative, Other, Female,7688.0,0.0,38.0, United-States, >50K,anchor,151,minority,14779
28.0, Private,377869.0, Some-college,10.0, Married-civ-spouse, Sales, Wife, White, Female,4064.0,0.0,25.0, United-States, <=50K,neg,-1,majority,113
32.0, Private,342458.0, Bachelors,13.0, Never-married, Prof-specialty, Not-in-family, White, Male,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,26829
52.0, Private,146767.0, HS-grad,9.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,40.0, United-States, >50K,pos,232,minority,31604
23.0, Private,174413.0, Bachelors,13.0, Never-married, Exec-managerial, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,19823
27.0, Private,376936.0, HS-grad,9.0, Never-married, Craft-repair, Not-in-family, White, Male,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,5261
22.0, Private,197387.0, Some-college,10.0, Never-married, Handlers-cleaners, Other-relative, White, Male,0.0,0.0,24.0, Mexico, <=50K,neg,-1,majority,7727
21.0, Private,206681.0, Some-college,10.0, Never-married, Sales, Own-child, White, Female,0.0,0.0,15.0, United-States, <=50K,neg,-1,majority,20230
27.0, Private,181280.0, Masters,14.0, Never-married, Handlers-cleaners, Unmarried, White, Male,0.0,0.0,30.0, United-States, <=50K,neg,-1,majority,17621
21.0, Private,250051.0, Some-college,10.0, Never-married, Prof-specialty, Own-child, White, Female,0.0,0.0,10.0, United-States, <=50K,neg,-1,majority,4767
36.0, State-gov,98037.0, Assoc-voc,11.0, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,28659
18.0, Private,205218.0, Some-college,10.0, Never-married, Other-service, Own-child, White, Female,0.0,0.0,20.0, United-States, <=50K,neg,-1,majority,26316
18.0, Private,205218.0, 11th,7.0, Never-married, Sales, Own-child, White, Female,0.0,0.0,20.0, United-States, <=50K,neg,-1,majority,30958
39.0, Self-emp-not-inc,188571.0, 11th,7.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,16465
26.0, Private,118736.0, Bachelors,13.0, Never-married, Prof-specialty, Not-in-family, White, Female,0.0,0.0,20.0, United-States, <=50K,neg,-1,majority,4219
45.0, Private,241350.0, HS-grad,9.0, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0.0,0.0,48.0, United-States, >50K,anchor,163,minority,20923
36.0, Private,359678.0, HS-grad,9.0, Never-married, Machine-op-inspct, Not-in-family, Black, Female,0.0,0.0,48.0, United-States, <=50K,neg,-1,majority,23405
34.0, Private,150154.0, HS-grad,9.0, Never-married, Adm-clerical, Own-child, White, Male,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,13829
43.0, Private,124436.0, Some-college,10.0, Married-civ-spouse, Prof-specialty, Wife, White, Female,0.0,0.0,40.0, United-States, >50K,pos,271,minority,19623
19.0, Local-gov,292962.0, HS-grad,9.0, Never-married, Craft-repair, Other-relative, Black, Female,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,8701
28.0, Private,171067.0, HS-grad,9.0, Never-married, Handlers-cleaners, Own-child, White, Female,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,31756
31.0, Private,651396.0, HS-grad,9.0, Never-married, Sales, Own-child, White, Female,0.0,1594.0,30.0, United-States, <=50K,neg,-1,majority,17296
51.0, Self-emp-inc,96062.0, Assoc-acdm,12.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,60.0, United-States, <=50K,neg,-1,majority,28695
23.0, Private,160968.0, Some-college,10.0, Never-married, Prof-specialty, Own-child, White, Male,0.0,0.0,10.0, United-States, <=50K,neg,-1,majority,18475
31.0, Self-emp-not-inc,80145.0, Some-college,10.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,703
54.0, Self-emp-inc,147239.0, Doctorate,16.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,60.0, United-States, >50K,anchor,339,minority,22284
63.0, Self-emp-inc,189253.0, Some-college,10.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,45.0, United-States, >50K,anchor,319,minority,8977
21.0, Private,185357.0, HS-grad,9.0, Never-married, Adm-clerical, Not-in-family, White, Male,0.0,0.0,50.0, United-States, <=50K,neg,-1,majority,13491
24.0, Private,179627.0, HS-grad,9.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,16276
53.0, ?,133963.0, HS-grad,9.0, Divorced, ?, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,14602
56.0, Private,182273.0, HS-grad,9.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,22759
44.0, Federal-gov,244054.0, Some-college,10.0, Divorced, Exec-managerial, Unmarried, White, Male,0.0,0.0,60.0, United-States, >50K,pos,92,minority,18938
42.0, Self-emp-not-inc,183765.0, Assoc-acdm,12.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,40.0, ?, <=50K,neg,-1,majority,4244
57.0, Private,69884.0, HS-grad,9.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,40.0, United-States, >50K,anchor,457,minority,581
40.0, Local-gov,99185.0, Assoc-acdm,12.0, Married-civ-spouse, Protective-serv, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,26689
40.0, Private,205175.0, HS-grad,9.0, Widowed, Machine-op-inspct, Unmarried, Black, Female,0.0,0.0,37.0, United-States, <=50K,neg,-1,majority,6435
29.0, Private,123677.0, HS-grad,9.0, Married-civ-spouse, Machine-op-inspct, Wife, Asian-Pac-Islander, Female,0.0,0.0,40.0, Laos, <=50K,neg,-1,majority,31332
44.0, Private,271792.0, Bachelors,13.0, Married-spouse-absent, Exec-managerial, Unmarried, White, Female,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,18207
41.0, Private,173858.0, HS-grad,9.0, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,0.0,0.0,40.0, China, <=50K,neg,-1,majority,20194
56.0, Private,225267.0, HS-grad,9.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,15652
24.0, Private,309055.0, Some-college,10.0, Never-married, Sales, Not-in-family, White, Female,0.0,0.0,15.0, United-States, <=50K,neg,-1,majority,865
17.0, Private,186677.0, 11th,7.0, Never-married, Handlers-cleaners, Own-child, White, Male,0.0,0.0,12.0, United-States, <=50K,neg,-1,majority,10128
53.0, Private,103950.0, Masters,14.0, Divorced, Prof-specialty, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,3934
32.0, Private,211751.0, Assoc-voc,11.0, Divorced, Other-service, Unmarried, Black, Female,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,27006
41.0, Private,113491.0, Some-college,10.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States, >50K,anchor,44,minority,12920
57.0, Local-gov,213975.0, HS-grad,9.0, Widowed, Other-service, Unmarried, White, Female,0.0,0.0,30.0, United-States, <=50K,neg,-1,majority,19077
55.0, Private,183884.0, HS-grad,9.0, Divorced, Craft-repair, Not-in-family, White, Male,0.0,0.0,45.0, United-States, <=50K,neg,-1,majority,6157
34.0, Private,160449.0, HS-grad,9.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,44.0, United-States, >50K,anchor,189,minority,2425
61.0, Local-gov,34632.0, Bachelors,13.0, Divorced, Other-service, Not-in-family, White, Male,0.0,0.0,30.0, United-States, <=50K,neg,-1,majority,13972
25.0, Private,106377.0, Some-college,10.0, Never-married, Adm-clerical, Own-child, White, Male,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,11735
24.0, Private,111445.0, HS-grad,9.0, Never-married, Sales, Not-in-family, White, Male,0.0,0.0,38.0, United-States, <=50K,neg,-1,majority,18090
35.0, ?,257250.0, HS-grad,9.0, Never-married, ?, Own-child, White, Male,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,11768
31.0, Local-gov,219883.0, HS-grad,9.0, Never-married, Protective-serv, Not-in-family, Black, Male,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,23775
34.0, Private,182926.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,43.0, United-States, >50K,anchor,472,minority,17614
45.0, Local-gov,331482.0, Assoc-acdm,12.0, Divorced, Tech-support, Own-child, White, Male,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,17101
